Ano do leilão;Número do leilão;Sequência;Tipo de usina;Empreendimento;Tipo de leilão;Potência (MW);Garantia física (MWm);Lotes vendidos;Preço (R$/MW);Localização;Fonte;Modalidade; Investimento previsto ;Consórcio
2005;2005-2;1;UHE;UHE Foz do Rio Claro;A-5;68,4;41;41;108,04;Caçú e São Simão/GO;Água;PIE; 281.032.620,00 ;Alusa Engenharia Ltda
2005;2005-2;2;UHE;UHE São José;A-5;51;30,4;30;115,8;Salvador das Missões e Rolador / RS;Água;PIE; 208.985.970,00 ;Alusa Engenharia Ltda
2005;2005-2;3;UHE;UHE Passo São João;A-5;77;39;37;112,55;Dezesseis de Novembro e Roque Gonzales / RS;Água;PIE; 267.595.880,00 ;Eletrosul S.A.
2005;2005-2;4;UHE;UHE Simplício;A-5;337,7;191,3;185;115,38;Sapucaia e Três Rios/RJ e Chiador e Além Paraíba/MG;Água;PIE; 1.441.505.800,00 ;Furnas
Centrais Elétricas S.A.
2005;2005-2;5;UHE;UHE Retiro Baixo;A-5;82;38,5;36;114,86;Curvelo e Pompeu/MG;Água;PIE; 262.417.880,00 ;Orteng Equipamentos e Sistemas Ltda.
2005;2005-2;6;UHE;UHE Baguari;A-5;140;80,2;77;115,1;Fernades Tourinho, Governador Valadares, Periquito, Sobrália, Iapú e Alpercata/MG;Água;PIE; 487.516.620,00 ;"Cemig Geração e Transmissão S.A. (34%), Furnas Centrais Elétricas S.A. (15%) e Neoenergia S.A.
(51%), que compõem o Consórcio Baguari"
2005;2005-2;7;UTE;UTE Candiota III;A-5;350;303,5;292;124,67;Candiota/RS;Carvão Mineral;PIE; 986.900.000,00 ;Companhia de Geração Térmica de Energia Elétrica - CGTEE
2005;2005-2;8;UTE;UTE Costa Pinto (Ampliação);A-5;56,14;22;19;138,99;Piracicaba/SP;Bagaço de Cana-de-Açúcar;AP; 158.641.610,00 ;Cosan S.A. Bioenergia
2005;2005-2;9;UTE;UTE Interlagos;A-5;40;20,7;8;114,96;Pereira Barreto/SP;Bagaço de Cana-de-Açúcar;PIE; 68.370.110,00 ;Usina Interlagos Ltda.
2005;2005-2;10;UTE;UTE Quirinópolis;A-5;40;11,6;6;104;Quirinópolis/GO;Bagaço de Cana-de-Açúcar;PIE; 78.800.000,00 ;U.S.J. Açúcar e Álcool S.A.
2005;2006-2;11;UTE;UTE Goiânia II;A-5;140;65,3;65;138,94;Aparecida de Goiânia/GO;Óleo Diesel;PIE; 232.098.250,00 ;"Petrobrás
Distribuidora S.A. (10%) e Benco Engenharia Ltda. (90%), que compõem o Consórcio BR Benco"
2006;2006-2;1;UTE;UTE Colorado (Ampliação);A-3;32;16;8;134,21;Guaíra /SP;Bagaço de Cana-de-Açúcar;PIE; 75.695.000,00 ;Açúcar e Álcool Oswaldo Ribeiro de Mendonça Ltda
2006;2006-2;2;UTE;UTE São José (Ampliação);A-3;50;28,3;28;134,2;Macatuba/SP;Bagaço de Cana-de-Açúcar;PIE; 184.640.000,00 ;Açucareira Zillo Lorenzetti S.A.
2006;2006-2;3;UTE;UTE Camaçari Polo de Apoio I;A-3;148;101,4;101;134,3;Camaçari/BA;Óleo Combustível;PIE; 250.000.000,00 ;Petrobrás Distribuidora S.A. (30%), Crisga Consultoria em Engenharia Elétrica e Participações Ltda. (20%), WJ Tecnologia Ltda. (15%), Genrent do Brasil Ltda. (20%), Ellocin Brasil Participações e Consultoria Empresarial – ELLOBRAS Ltda. (15%) integrantes do Consórcio BRGEC
2006;2006-2;4;UTE;UTE Camaçari Muricy I;A-3;148;101,4;101;134,42;Camaçari/BA;Óleo Combustível;PIE; 250.000.000,00 ;Petrobrás Distribuidora S.A. (50%) e Morro do Conselho Participações Ltda. (50%) integrantes do Consórcio BRMDC
2006;2006-2;5;UTE;UTE Santa Izabel (Ampliação);A-3;40;11,3;11;134,24;Novo Horizonte/SP;Bagaço de Cana-de-Açúcar;AP; 65.400.000,00 ;Usina Santa Isabel Ltda.
2006;2006-2;6;UTE;UTE Potiguar III;A-3;66;29,5;29;134,25;Macaíba/RN;Óleo Diesel;PIE; 55.145.000,00 ;Potiguar S.A. – TEP
2006;2006-2;7;UTE;UTE Pau Ferro I;A-3;94;46,5;46;134,31;Igarassú/PE;"Óleo Diesel
(Alternativo: Biodiesel)";PIE; 55.700.000,00 ;Termomanaus Ltda
2006;2006-2;8;UTE;UTE Termomanaus;A-3;142,236;70,4;70;134,31;Cabo de Santo  Agostinho/PE;"Óleo Diesel
(Alternativo: Biodiesel)";PIE; 75.072.000,00 ;Termomanaus Ltda
2006;2006-2;9;UTE;UTE Quirinopolis (Ampliação);A-3;40;11,2;11;134,12;Quirinópolis/GO;Bagaço de Cana-de-Açúcar;PIE; 78.800.000,00 ;U.S.J. Açúcar e Álcool S.A.
2006;2006-2;10;PCH;PCH Barra Escondida;A-3;2,25;1,25;1;124,99;Saudades/SC;Água;PIE; 8.216.000,00 ;QBEC Projetos e Consultoria Ltda. 
2006;2006-4;1;UHE;UHE Dardanelos;A-5;261;154,9;147;112,68;Aripuanã/MT;Água;PIE; 574.133.830,00 ;Companhia Hidro Elétrica do São Francisco - CHESF (24,5%), Centrais Elétricas do Norte do Brasil S.A. - ELETRONORTE (24,5%), Neoenergia S.A. (46%), Construtora Norberto Odebrecht (5%), que compõem o Consórcio Aripuanã
2006;2006-4;2;UHE;UHE Mauá;A-5;361;197,7;192;112,96;Telêmaco Borba e Ortigueira/PR;Água;PIE; 882.849.520,00 ;Copel Geração S.A. (51%) e Eletrosul Centrais Elétricas S.A. (49%), que compõem o Consórcio Cruzeiro do Sul
2006;2006-4;3;UTE;UTE Quatá (Ampliação);A-5;60;10,5;10;137;Quatá/SP;Bagaço de Cana-de-Açúcar;PIE; 109.044.000,00 ;Açucareira Quatá S.A.
2006;2006-4;4;UTE;UTE Usina Bonfim;A-5;59;23,4;21;137,6;Guariba/SP;Bagaço de Cana-de-Açúcar;PIE; 116.140.000,00 ;Corona Bioenergia S.A.
2006;2006-4;5;UTE;UTE Ferrari;A-5;31;8,2;8;138;Pirassununga/SP;Bagaço de Cana-de-Açúcar;PIE/AP; 76.816.000,00 ;Ferrari Agorindústria Ltda
2006;2006-4;6;UTE;UTE Boa Vista;A-5;80;36,2;11;134,99;Quirinópolis/GO;Bagaço de Cana-de-Açúcar;PIE/AP; 153.600.000,00 ;Usina Boa Vista S.A.
2006;2006-4;7;UTE;UTE Baia Formosa (Ampliação);A-5;32;11;11;137,7;Baía Formosa/RN;Bagaço de Cana-de-Açúcar;PIE; 41.359.230,00 ;Vale Verde Empreendimentos Agrícolas Ltda.
2006;2006-4;8;UTE;UTE Palmeiras de Goiás.;A-5;174,3;69,8;69;137,6;Palmeiras do Goiás/GO;Óleo Diesel;PIE; 272.969.000,00 ;Energia Elétrica do Brasil Ltda.
2006;2006-4;9;UTE;UTE do Atlântico;A-5;490;419,8;200;136,88;Rio de Janeiro/RJ;Gás de Processo e Vapor de Processo;PIE/AP; 1.205.000.000,00 ;Thyssenkrupp CSA Companhia Siderúrgica
2007;2007-1;1;UTE;UTE MPX;A-5;700;631;615;125,95;Caucaia/CE;Carvão Mineral;PIE; 2.101.430.000,00 ;MPX Mineração e Energia Ltda.
2007;2007-1;2;UTE;UTE Termomaranhão;A-5;350;332,7;315;128,95;São Luiz/MA;Carvão Mineral;PIE; 1.413.000.000,00 ;Diferencial Energia Empreendimentos e Participações Ltda.
2007;2007-1;3;UTE;UTE Maracanaú II;A-5;73,712;53;51;130,95;Pecém/CE;Óleo OCB1;PIE; 183.000.000,00 ;Thèrmes Participações S.A.
2007;2007-1;4;UTE;UTE Suape II;A-5;355,68;265,4;265;131,49;Cabo de Santo  Agostinho/PE;Óleo Combustível;PIE; 590.000.000,00 ;Consórcio MPE Montagens e Projetos Especiais, Petrobras Distribuidora S.A., Ellobras Infra-Estrutura e Participações Ltda., Genrent Participações Ltda., Genpower Energy Participações Ltda.
2007;2007-2;1;UTE;UTE Campina Grande;A-3;164,24;123,6;119;132,83;Campina Grande/PB;"Óleo Combustível B1 (especial)
Alternativo: Óleo Diesel";PIE; 369.806.820,00 ;Wärtsilä do Brasil Ltda.
2007;2007-2;2;UTE;UTE Global I;A-3;143,84;105,3;105;135,9;Candeias/BA;"Óleo Combustível B1
Alternativo: Óleo Diesel";PIE; 170.000.000,00 ;Global Participações em Energia S.A.
2007;2007-2;3;UTE;UTE Global II;A-3;148;109,3;109;135,9;Candeias/BA;"Óleo Combustível B1
Alternativo: Óleo Diesel";PIE; 212.000.000,00 ;Global Participações em Energia S.A.
2007;2007-2;4;UTE;UTE Itapebi;A-3;137,6;103,7;103;133,6;Itapebi/BA;"Óleo OCB1
Alternativo: Óleo Diesel";PIE; 203.025.000,00 ;South Bahia Energia Ltda.
2007;2007-2;5;UTE;UTE Maracanaú I;A-3;162,338;122,9;119;133,13;Maracanaú / CE;Óleo Combustível B1;PIE; 355.200.000,00 ;Thermes Participações S.A.
2007;2007-2;6;UTE;UTE Monte Pascoal;A-3;137,6;104,8;104;132,8;Eunápolis/BA;"Óleo Combustível B1
Alternativo: Óleo Diesel";PIE; 204.310.000,00 ;South Bahia Energia Ltda
2007;2007-2;7;UTE;UTE Nova Olinda;A-3;165;120,8;120;136;Nova Olinda/TO;Óleo combustível B1 especial;PIE; 325.545.380,00 ;Holdenn Construções Assessoria e Consultoria Ltda.
2007;2007-2;8;UTE;UTE Termonordeste;A-3;170,76;123,8;123;135,97;Santa Cruz/RN;"Óleo Combustível B1
Alternativo: Óleo Diesel";PIE; 162.782.000,00 ;Termomanaus, Ltda.
2007;2007-2;9;UTE;UTE Termoparaíba;A-3;170,8;123,9;123;135,92;Conde/PB;"Óleo Combustível B1
Alternativo: Biodisel e Óleo Diesel";PIE; 162.782.000,00 ;Termomanaus, Ltda.
2007;2007-2;10;UTE;UTE Tocantinópolis;A-3;165;120,8;120;135,9;Tocantinópolis/TO;Óleo combustível B1 especial;PIE; 325.545.380,00 ;Holdenn Construções Assessoria e Consultoria Ltda.
2007;2007-2;11;UTE;UTE Viana;A-3;170,76;121,5;121;133,21;Viana/ES;"Óleo Combustível B1
Alternativo: Óleo Diesel";PIE; 386.434.720,00 ;Wärtsilä Brasil Ltda.
2007;2007-3;1;UTE;UTE Ester (Ampliação);FA;30;10,2;7;138,9;Cosmópolis/SP;Bagaço de Cana-de-Açúcar;PIE; 70.000.000,00 ;Usina Açucareira Ester S.A. 
2007;2007-3;2;UTE;UTE Florida Paulista (Ampliação);FA;40;21,8;8;139,12;Flórida Paulista/SP;Bagaço de Cana-de-Açúcar;PIE; 63.700.000,00 ;Floralco Açúcar e Álcool Ltda.
2007;2007-3;3;UTE;UTE Iacanga;FA;12;7,8;4;138,94;Iacanga/SP;Bagaço de Cana-de-Açúcar;PIE; 20.990.000,00 ;Usina Iacanga de Açúcar e Álcool Ltda.
2007;2007-3;4;UTE;UTE Louis Dreyfus Lagoa da Prata;FA;60;29,8;19;139,12;Lagoa da Prata/MG;Bagaço de Cana-de-Açúcar;PIE; 60.240.000,00 ;Louis Dreyfus Commodities Bioenergia S.A.
2007;2007-3;5;UTE;UTE Louis Dreyfus Rio Brilhante;FA;90;48,9;22;139,12;Rio Brilhante/MS;Bagaço de Cana-de-Açúcar;PIE; 53.000.000,00 ;Louis Dreyfus Commodities Bioenergia S.A.
2007;2007-3;6;UTE;UTE Pioneiros II;FA;50;16,9;12;139,12;Ilha Solteira/SP;Bagaço de Cana-de-Açúcar;PIE; 60.240.000,00 ;Pioneiros Bioenergia S.A.
